epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,26914,1.37673,0.92362,1.11161,0.74963,0.76538,0.79241,0.48181,1.85142,1.17391,1.33193,0.0054955,0.0054955,0.0054955
93,27206.6,1.3676,0.90555,1.10691,0.78972,0.75927,0.79266,0.47838,1.84817,1.17431,1.33312,0.005446,0.005446,0.005446
94,27499,1.37556,0.92868,1.11512,0.76079,0.76613,0.7983,0.48402,1.84895,1.1842,1.33588,0.0053965,0.0053965,0.0053965
95,27791.3,1.36853,0.92327,1.10843,0.79993,0.73938,0.79496,0.48171,1.86476,1.17527,1.33833,0.005347,0.005347,0.005347
96,28083.6,1.35803,0.9001,1.10565,0.77649,0.76435,0.79266,0.48261,1.85879,1.19186,1.33622,0.0052975,0.0052975,0.0052975
97,28376,1.35663,0.89951,1.1063,0.75593,0.7608,0.79134,0.4897,1.85792,1.20068,1.33784,0.005248,0.005248,0.005248
98,28668.4,1.35245,0.90189,1.10546,0.7972,0.7415,0.79632,0.49249,1.85443,1.19271,1.33917,0.0051985,0.0051985,0.0051985
99,28960.7,1.34487,0.89258,1.10181,0.77158,0.75908,0.79421,0.49433,1.86149,1.19287,1.33792,0.005149,0.005149,0.005149
100,29252.7,1.34188,0.89679,1.10381,0.76175,0.76842,0.79224,0.48164,1.86041,1.20357,1.34928,0.0050995,0.0050995,0.0050995
101,29545.1,1.33732,0.88869,1.09783,0.77256,0.7313,0.7916,0.48562,1.86529,1.20811,1.35329,0.00505,0.00505,0.00505
102,29837.3,1.34707,0.89394,1.10227,0.76081,0.77437,0.79333,0.4832,1.86546,1.19894,1.34828,0.0050005,0.0050005,0.0050005
103,30129.2,1.32005,0.88026,1.09472,0.76917,0.76215,0.7996,0.48842,1.86716,1.20053,1.3537,0.004951,0.004951,0.004951
104,30421.6,1.32757,0.88333,1.09427,0.73623,0.77162,0.7918,0.48261,1.87411,1.20625,1.35992,0.0049015,0.0049015,0.0049015
105,30713.7,1.32731,0.87923,1.09157,0.74547,0.78476,0.79189,0.48643,1.86762,1.20654,1.36211,0.004852,0.004852,0.004852
106,31005.8,1.32199,0.87805,1.09322,0.79479,0.72756,0.79336,0.48042,1.87374,1.21519,1.36357,0.0048025,0.0048025,0.0048025
107,31297.7,1.31243,0.86873,1.08575,0.75447,0.76368,0.79281,0.49223,1.87287,1.21524,1.36004,0.004753,0.004753,0.004753
108,31589.5,1.3006,0.85294,1.08444,0.73699,0.77726,0.78363,0.48273,1.87322,1.21464,1.36421,0.0047035,0.0047035,0.0047035
109,31881.9,1.29593,0.85018,1.08213,0.76902,0.75808,0.78827,0.48877,1.8744,1.22374,1.36401,0.004654,0.004654,0.004654
110,32174.2,1.29188,0.85075,1.08125,0.77146,0.74556,0.78531,0.48979,1.87225,1.22502,1.36714,0.0046045,0.0046045,0.0046045
111,32466.7,1.31026,0.87179,1.0883,0.79493,0.72978,0.78828,0.4933,1.864,1.21965,1.36022,0.004555,0.004555,0.004555
112,32759.4,1.30083,0.86126,1.08012,0.76659,0.74217,0.7897,0.49355,1.86687,1.2203,1.36959,0.0045055,0.0045055,0.0045055
113,33052,1.29366,0.85346,1.07887,0.79389,0.73465,0.78697,0.49251,1.86368,1.22769,1.36882,0.004456,0.004456,0.004456
114,33344.2,1.29668,0.85007,1.0798,0.78615,0.74201,0.78748,0.49423,1.86968,1.22924,1.36561,0.0044065,0.0044065,0.0044065
115,33636.8,1.28515,0.84275,1.07375,0.76283,0.74315,0.78878,0.48999,1.86642,1.22743,1.36335,0.004357,0.004357,0.004357
116,33929.1,1.27655,0.8388,1.07124,0.78044,0.74085,0.79045,0.49157,1.86849,1.22685,1.37353,0.0043075,0.0043075,0.0043075
117,34221.3,1.28561,0.84714,1.08014,0.77262,0.74424,0.78544,0.48774,1.86821,1.23748,1.36416,0.004258,0.004258,0.004258
118,34513.4,1.26696,0.8316,1.07667,0.74431,0.76922,0.78874,0.48576,1.86945,1.24009,1.3672,0.0042085,0.0042085,0.0042085
119,34805.8,1.27815,0.83599,1.0719,0.76649,0.73735,0.78151,0.48703,1.87469,1.24314,1.36829,0.004159,0.004159,0.004159
120,35097.9,1.26359,0.82662,1.07,0.7695,0.7624,0.78982,0.48744,1.87774,1.24724,1.37479,0.0041095,0.0041095,0.0041095
121,35390.2,1.26647,0.82488,1.06991,0.78464,0.76387,0.78937,0.49384,1.87803,1.2411,1.37172,0.00406,0.00406,0.00406
